title,employer,location,status,last_updated,category,date
Kirppis Bergen søker ekstra- og deltidsansatte,Kirppis Bergen,Bergen,ACTIVE,2026-05-09 13:56:13.612039+02:00,Other,2026-05-09
Kantinemedarbeidere og renholdere søkes,Adecco Norge AS,Bodø,ACTIVE,2026-05-09 13:57:13.672996+02:00,Other,2026-05-09
Sommerjobb som resepsjonist,Adecco Norge AS,Bodø,ACTIVE,2026-05-09 14:12:16.030816+02:00,Other,2026-05-09
Vi søker sesonghjelp over 18 til REMA 1000 Breivika,REMA 1000 Breivika,Ålesund,ACTIVE,2026-05-09 14:20:47.522089+02:00,Other,2026-05-09
Åpen søknad for REMA 1000 Breivika,REMA 1000 Breivika,Ålesund,ACTIVE,2026-05-09 14:22:17.609803+02:00,Other,2026-05-09
Barnehagemedarbeider,Capella,Bergen,ACTIVE,2026-05-09 15:32:18.846657+02:00,Other,2026-05-09
Dyktig og engasjert fagarbeider/assistent søkes!,Sandefjord kommune Gokstad skole,Sandefjord,ACTIVE,2026-05-09 15:38:49.630319+02:00,Other,2026-05-09
Alfa Hårstudio søker ny frisør. ,Alfa Hårstudio Rr As,Stord,ACTIVE,2026-05-09 16:09:24.357531+02:00,Other,2026-05-09
Sales Agent / Distribution Partner wanted for Norway,Reshape Healthcare,?,ACTIVE,2026-05-09 16:09:44.391515+02:00,Other,2026-05-09
Alfa Hårstudio søker ny frisør. ,Alfa Hårstudio Rr As,Stord,ACTIVE,2026-05-09 16:10:44.417896+02:00,Other,2026-05-09
Vi søker deltidsmedarbeidere!,Esso Amtmannsvingen Deli de Luca,Lier,ACTIVE,2026-05-09 16:13:45.074605+02:00,Other,2026-05-09
Vil du bli med å skape møbelbransjens beste kundeopplevelser?,Skeidar Tiller,Trondheim,ACTIVE,2026-05-09 16:47:10.505335+02:00,Other,2026-05-09
Korpsdirigent (fast) - Skeie Skolekorps,"Stavanger kulturskole avdeling , Stavanger kommune",Stavanger,ACTIVE,2026-05-09 17:26:46.792442+02:00,Other,2026-05-09
Sjåfør på lastebil,Lykkelige Hjul As,Kristiansand,ACTIVE,2026-05-09 18:15:44.038929+02:00,Other,2026-05-09
Vi søker en allsidig Bilmekaniker.,Oslo Autosalg AS,Oslo,ACTIVE,2026-05-09 18:31:57.137015+02:00,Other,2026-05-09
Div. Lakkering/sliping og Klargjører samt diverse vedr. Bil.  Car paints and Prepares and miscellaneous regarding car.,Oslo Autosalg AS,Oslo,ACTIVE,2026-05-09 18:33:27.242335+02:00,Coating / Materials,2026-05-09
Engasjert kokk som ønsker å jobbe med norske mattradisjoner ,Valldal Fjordhotell Drift AS,Fjord,ACTIVE,2026-05-09 19:07:12.810294+02:00,Other,2026-05-09
80% fast klassisk gitarlærer ved Stavanger kulturskole,"Stavanger kulturskole, Stavanger kommune",Stavanger,ACTIVE,2026-05-09 19:22:15.138246+02:00,Teacher / Education,2026-05-09
Lierstranda bofellesskap søker etter sykepleier/vernepleier - vikariat  ,"Tjenester til voksne med funksjonsnedsettelse, Lier kommune",Lier,ACTIVE,2026-05-09 20:03:11.737187+02:00,Other,2026-05-09
Vil du gi barn ekte friluftsliv i trygge rammer? 100% Fast stilling,Frikultbarnehagen Båsmo As,Rana,ACTIVE,2026-05-09 20:37:57.368789+02:00,Other,2026-05-09
Taxisjåfør  i Oslo,Ars Group As,Oslo,ACTIVE,2026-05-09 20:42:58.191339+02:00,Other,2026-05-09
